epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,2237.04,0.35712,0.51156,0.25766,0.86015,0,0.93308,0.87423,0.90338,0.80313,0.94567,0.88358,0.91338,0.77208,0.43191,0.95509,0.31198,0.91768,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2343.36,0.35486,0.51272,0.25168,0.85789,0,0.9354,0.85172,0.89468,0.79134,0.9402,0.86965,0.91325,0.7666,0.45154,1.03445,0.32946,0.94271,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2451.25,0.35315,0.50396,0.24687,0.85576,0,0.93008,0.86939,0.90827,0.80976,0.94018,0.87986,0.91923,0.7827,0.42025,0.94269,0.31075,0.91746,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2556.69,0.3501,0.5055,0.24641,0.85431,0,0.93404,0.86919,0.91077,0.80754,0.94992,0.87936,0.9181,0.7806,0.41848,0.94712,0.31299,0.9176,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2661.04,0.34729,0.50281,0.24405,0.8546,0,0.92746,0.87975,0.9093,0.80787,0.94366,0.89151,0.92081,0.78111,0.42173,0.88428,0.30398,0.91579,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2765.9,0.3473,0.50158,0.24472,0.85589,0,0.92804,0.87093,0.90753,0.80644,0.94752,0.87758,0.92247,0.77596,0.4141,0.88528,0.30439,0.91288,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2869.94,0.3475,0.50146,0.24642,0.85867,0,0.93554,0.85653,0.90477,0.80387,0.94445,0.88021,0.9197,0.77619,0.43404,0.92779,0.29364,0.93092,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2974.7,0.34088,0.49332,0.241,0.85421,0,0.93159,0.87466,0.90783,0.80954,0.94571,0.88369,0.91803,0.7758,0.42905,0.94786,0.30569,0.93582,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3078.98,0.33908,0.48583,0.2415,0.85229,0,0.92816,0.86976,0.90667,0.80993,0.94352,0.88076,0.91707,0.78141,0.41801,0.9392,0.29035,0.91675,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3182.66,0.33699,0.48935,0.23889,0.85233,0,0.9288,0.87125,0.90699,0.81095,0.94325,0.88533,0.91996,0.78525,0.41687,0.93453,0.29586,0.92455,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3288,0.34091,0.48921,0.24012,0.85268,0,0.9151,0.88487,0.91544,0.81847,0.93824,0.89426,0.92676,0.78261,0.40834,0.8701,0.2962,0.91253,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3392.83,0.33402,0.48576,0.23707,0.85127,0,0.90667,0.87269,0.90726,0.80941,0.94064,0.87899,0.91946,0.77545,0.41669,0.94752,0.31453,0.91812,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3496.48,0.32691,0.47303,0.23329,0.84807,0,0.92208,0.87564,0.91227,0.81721,0.9364,0.88939,0.92255,0.78667,0.40829,0.89869,0.28706,0.91416,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3600.09,0.33055,0.48565,0.23242,0.8515,0,0.9222,0.86946,0.90582,0.8151,0.93785,0.88073,0.91773,0.78464,0.39967,0.91273,0.31951,0.90082,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3828.68,0.33105,0.47737,0.23087,0.84961,0,0.9237,0.85959,0.89988,0.81059,0.94,0.87147,0.91034,0.77761,0.40502,0.93194,0.32617,0.91413,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4092.33,0.32728,0.47377,0.22739,0.84914,0,0.90048,0.87013,0.90162,0.80458,0.92376,0.87838,0.91268,0.77808,0.42236,0.96661,0.32585,0.931,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4358.28,0.32503,0.47316,0.23043,0.84843,0,0.91916,0.86885,0.90836,0.80388,0.94527,0.87919,0.92133,0.777,0.43177,1.00395,0.32021,0.9352,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4621.81,0.32364,0.46665,0.2274,0.84602,0,0.91901,0.86555,0.904,0.80341,0.93849,0.87925,0.9159,0.77514,0.42279,0.96795,0.32377,0.92506,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4884.5,0.32058,0.4697,0.2264,0.84525,0,0.91027,0.87203,0.90261,0.80399,0.95112,0.87238,0.9149,0.77502,0.40562,0.96887,0.3122,0.91679,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5150.86,0.32499,0.47377,0.22657,0.84603,0,0.93898,0.87107,0.90888,0.81053,0.95627,0.88308,0.91901,0.78037,0.40334,0.95927,0.30666,0.90644,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5414.88,0.3236,0.47182,0.22392,0.84716,0,0.93194,0.87326,0.90831,0.81084,0.9529,0.88825,0.92274,0.78354,0.41196,0.94811,0.29759,0.90879,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
